state,year,violent crime,violent_murder,violent_rape,violent_robbery,violent_assault,property crime,property_buglary,property_larceny,property_auto theft,unemployment,population,Land Area,population density,poverty rate,employee rate,per capita income,% Males 15-24 years,% Males 25-39 years
Pennsylvania,2008,410,5.6,27.9,151.6,224.8,2410.2,470.9,1758.8,180.5,5.3,12448279,119280,104.3618293,11,0.000515895,41728,7.097603031,8.884074543
Puerto rico,2008,239.9,20.4,2.4,138.3,78.8,1498.6,484,837.4,177.1,11.8,3954037,13791,286.711406,12.7,0.000462077,40564,7.510299348,9.339731241
Rhode Island,2008,249.4,2.8,26.4,83.7,136.7,2840.6,547.2,1988.9,304.5,7.8,1050788,4001,262.6313422,12.7,0.000322615,41638,7.638702055,8.743671535
South Carolina,2008,729.7,6.8,36.6,147.3,539.1,4234.2,1026.1,2814.1,394,7.3,4479800,82933,54.01709814,14,0.00059958,33234,7.286602084,9.521160056
South Dakota,2008,201.4,3.2,53.7,14.9,129.6,1645.6,302.2,1244,99.5,3.1,804194,199729,4.026425807,13.1,0.000499879,41168,7.244605243,9.576772684
Tennessee,2008,722.4,6.6,33.2,173.8,508.9,4042.6,1046,2687.3,309.3,6.5,6214888,109153,56.9373998,15,0.000439911,35059,6.96307997,9.592494784
Texas,2008,507.9,5.6,32.9,155.2,314.1,3985.6,946,2688.8,350.8,4.8,24326974,695662,34.96953118,15.9,0.000331977,39946,7.59643633,10.7243807
Utah,2008,221.8,1.4,32.6,51.9,135.8,3357.4,536.5,2557.9,262.9,3.6,2736424,219882,12.44496594,7.6,0.000252885,33941,8.167857112,11.57530671
Vermont,2008,135.9,2.7,20.4,14.3,98.3,2538.5,557.2,1887.1,94.2,4.7,621270,24906,24.94459166,9,0.000795145,41022,7.44829385,8.183322849
Virginia,2008,255.9,4.7,22.6,95.7,132.8,2518.1,411.8,1935.6,170.7,3.9,7769089,110787,70.12635959,10.3,0.000395799,45514,7.259156193,10.05491229
Washington,2008,331.2,2.9,40.1,96.9,191.2,3758.4,801.3,2524.6,432.6,5.4,6549224,184661,35.46620023,10.4,0.000351645,44241,7.069257655,10.40475246
West Virginia,2008,273.8,3.3,20,49,201.5,2568.6,609.9,1782.2,176.6,4.8,1814468,62756,28.91306011,14.5,0.000471908,31607,6.611967634,8.994220679
Wisconsin,2008,274,2.6,19.9,91.1,160.4,2756.4,488.3,2063.4,204.7,4.9,5627967,169635,33.17692104,9.8,0.000189589,39055,7.062561826,9.433211949
Wyoming,2008,232,1.9,33.8,16.1,180.2,2717.3,410,2173.4,133.9,3.1,532668,253335,2.102623009,10.1,0.000694617,49746,7.343848905,9.858865653
